region,year,matrix,total_prelevements,non_conformes_France,non_conformes_Danemark,non_conformes_USA,pourcentage_France,pourcentage_Danemark,pourcentage_USA
Hauts-de-France,2017,Groundwater,39,38,25,0,97.43589743589743,64.1025641025641,0
Hauts-de-France,2017,Sediment,1,0,0,0,0,0,0
Hauts-de-France,2017,Surface water,532,0,0,0,0,0,0
Hauts-de-France,2018,Groundwater,95,91,64,3,95.78947368421052,67.36842105263158,3.1578947368421053
Hauts-de-France,2018,Surface water,602,0,0,0,0,0,0
Hauts-de-France,2019,Biota,3,3,3,3,100,100,100
Hauts-de-France,2019,Groundwater,106,92,66,2,86.79245283018868,62.264150943396224,1.8867924528301887
Hauts-de-France,2019,Surface water,243,0,0,0,0,0,0
Hauts-de-France,2020,Biota,1,1,1,1,100,100,100
Hauts-de-France,2020,Groundwater,142,123,81,3,86.61971830985915,57.04225352112676,2.112676056338028
Hauts-de-France,2020,Surface water,439,0,0,0,0,0,0
Hauts-de-France,2021,Biota,3,3,3,3,100,100,100
Hauts-de-France,2021,Groundwater,151,96,59,1,63.576158940397356,39.0728476821192,0.6622516556291391
Hauts-de-France,2021,Surface water,320,0,0,0,0,0,0
Hauts-de-France,2022,Biota,2,1,2,2,50,100,100
Hauts-de-France,2022,Groundwater,110,85,57,2,77.27272727272727,51.81818181818182,1.8181818181818181
Hauts-de-France,2022,Surface water,617,0,0,0,0,0,0
Hauts-de-France,2023,Biota,7,5,7,7,71.42857142857143,100,100
Hauts-de-France,2023,Groundwater,80,63,50,0,78.75,62.5,0
Hauts-de-France,2023,Surface water,754,0,0,0,0,0,0
Hauts-de-France,2024,Biota,4,1,4,4,25,100,100
Hauts-de-France,2024,Drinking water,3,0,0,0,0,0,0
Hauts-de-France,2024,Groundwater,27,15,9,0,55.55555555555556,33.33333333333333,0
Hauts-de-France,2024,Surface water,533,0,0,0,0,0,0
La Réunion,2012,Groundwater,4,4,3,0,100,75,0
La Réunion,2013,Groundwater,4,4,3,0,100,75,0
La Réunion,2013,Surface water,2,0,0,0,0,0,0
La Réunion,2017,Groundwater,6,5,5,0,83.33333333333334,83.33333333333334,0
La Réunion,2018,Groundwater,31,30,24,0,96.7741935483871,77.41935483870968,0
La Réunion,2018,Surface water,55,0,0,0,0,0,0
La Réunion,2019,Groundwater,25,22,18,0,88,72,0
La Réunion,2019,Surface water,4,0,0,0,0,0,0
La Réunion,2020,Groundwater,36,33,27,0,91.66666666666666,75,0
La Réunion,2020,Surface water,43,0,0,0,0,0,0
La Réunion,2021,Groundwater,44,29,20,0,65.9090909090909,45.45454545454545,0
La Réunion,2021,Surface water,14,0,0,0,0,0,0
La Réunion,2022,Groundwater,65,39,25,0,60,38.46153846153847,0
La Réunion,2023,Groundwater,12,6,4,0,50,33.33333333333333,0
La Réunion,2024,Groundwater,9,8,6,0,88.88888888888889,66.66666666666666,0
Martinique,2012,Groundwater,7,7,6,2,100,85.71428571428571,28.57142857142857
Martinique,2013,Surface water,7,0,0,0,0,0,0
Martinique,2015,Surface water,1,0,0,0,0,0,0
Martinique,2022,Groundwater,7,7,3,0,100,42.857142857142854,0
Martinique,2023,Groundwater,18,10,4,0,55.55555555555556,22.22222222222222,0
Normandie,2006,Surface water,1,0,0,0,0,0,0
Normandie,2009,Groundwater,1,1,1,0,100,100,0
Normandie,2009,Surface water,2,0,0,0,0,0,0
Normandie,2010,Groundwater,2,2,2,0,100,100,0
Normandie,2011,Groundwater,9,8,4,0,88.88888888888889,44.44444444444444,0
Normandie,2012,Surface water,6,0,0,0,0,0,0
Normandie,2013,Surface water,11,0,0,0,0,0,0
Normandie,2015,Sediment,5,5,5,5,100,100,100
Normandie,2016,Sediment,1,0,0,0,0,0,0
Normandie,2016,Surface water,531,0,0,0,0,0,0
Normandie,2017,Groundwater,37,34,19,1,91.8918918918919,51.35135135135135,2.7027027027027026
Normandie,2017,Sediment,1,1,1,1,100,100,100
Normandie,2017,Surface water,506,0,0,0,0,0,0
Normandie,2018,Surface water,332,0,0,0,0,0,0
Normandie,2019,Biota,5,5,5,5,100,100,100
Normandie,2019,Groundwater,3,3,3,2,100,100,66.66666666666666
Normandie,2019,Surface water,489,0,0,0,0,0,0
Normandie,2020,Groundwater,63,57,38,1,90.47619047619048,60.317460317460316,1.5873015873015872
Normandie,2020,Surface water,600,0,0,0,0,0,0
Normandie,2021,Biota,2,2,2,2,100,100,100
Normandie,2021,Groundwater,65,40,26,0,61.53846153846154,40,0
Normandie,2021,Surface water,584,0,0,0,0,0,0
Normandie,2022,Biota,5,3,5,5,60,100,100
Normandie,2022,Groundwater,57,44,33,1,77.19298245614034,57.89473684210527,1.7543859649122806
Normandie,2022,Surface water,778,0,0,0,0,0,0
Normandie,2023,Biota,13,6,11,11,46.15384615384615,84.61538461538461,84.61538461538461
Normandie,2023,Groundwater,59,46,30,0,77.96610169491525,50.847457627118644,0
Normandie,2023,Sediment,1,1,1,1,100,100,100
Normandie,2023,Surface water,711,0,0,0,0,0,0
Normandie,2024,Biota,11,7,11,11,63.63636363636363,100,100
Normandie,2024,Groundwater,66,47,24,0,71.21212121212122,36.36363636363637,0
Normandie,2024,Surface water,834,0,0,0,0,0,0
Nouvelle-Aquitaine,2009,Groundwater,2,2,2,0,100,100,0
Nouvelle-Aquitaine,2009,Surface water,5,0,0,0,0,0,0
Nouvelle-Aquitaine,2010,Groundwater,2,2,2,0,100,100,0
Nouvelle-Aquitaine,2010,Surface water,5,0,0,0,0,0,0
Nouvelle-Aquitaine,2011,Groundwater,55,48,31,3,87.27272727272727,56.36363636363636,5.454545454545454
Nouvelle-Aquitaine,2011,Surface water,2,0,0,0,0,0,0
Nouvelle-Aquitaine,2012,Sea water,1,0,0,0,0,0,0
Nouvelle-Aquitaine,2012,Surface water,3,0,0,0,0,0,0
Nouvelle-Aquitaine,2015,Groundwater,1,1,1,0,100,100,0
Nouvelle-Aquitaine,2015,Surface water,12,0,0,0,0,0,0
Nouvelle-Aquitaine,2016,Groundwater,6,4,4,0,66.66666666666666,66.66666666666666,0
Nouvelle-Aquitaine,2016,Sediment,3,2,2,2,66.66666666666666,66.66666666666666,66.66666666666666
Nouvelle-Aquitaine,2016,Surface water,61,0,0,0,0,0,0
Nouvelle-Aquitaine,2017,Groundwater,18,13,12,2,72.22222222222221,66.66666666666666,11.11111111111111
Nouvelle-Aquitaine,2017,Sediment,4,4,4,4,100,100,100
Nouvelle-Aquitaine,2017,Surface water,32,0,0,0,0,0,0
Nouvelle-Aquitaine,2018,Biota,14,14,14,14,100,100,100
Nouvelle-Aquitaine,2018,Groundwater,32,28,26,2,87.5,81.25,6.25
Nouvelle-Aquitaine,2018,Surface water,112,0,0,0,0,0,0
Nouvelle-Aquitaine,2019,Biota,17,17,17,17,100,100,100
Nouvelle-Aquitaine,2019,Groundwater,77,49,35,4,63.63636363636363,45.45454545454545,5.194805194805195
Nouvelle-Aquitaine,2019,Surface water,209,0,0,0,0,0,0
Nouvelle-Aquitaine,2020,Biota,15,15,15,15,100,100,100
Nouvelle-Aquitaine,2020,Groundwater,77,60,31,4,77.92207792207793,40.25974025974026,5.194805194805195
Nouvelle-Aquitaine,2020,Surface water,239,0,0,0,0,0,0
Nouvelle-Aquitaine,2021,Biota,11,11,11,11,100,100,100
Nouvelle-Aquitaine,2021,Groundwater,114,84,46,7,73.68421052631578,40.35087719298245,6.140350877192982
Nouvelle-Aquitaine,2021,Surface water,275,0,0,0,0,0,0
Nouvelle-Aquitaine,2022,Biota,55,23,52,52,41.81818181818181,94.54545454545455,94.54545454545455
Nouvelle-Aquitaine,2022,Groundwater,116,101,68,5,87.06896551724138,58.620689655172406,4.310344827586207
Nouvelle-Aquitaine,2022,Sediment,2,2,2,2,100,100,100
Nouvelle-Aquitaine,2022,Surface water,152,0,0,0,0,0,0
Nouvelle-Aquitaine,2023,Biota,42,25,39,39,59.523809523809526,92.85714285714286,92.85714285714286
Nouvelle-Aquitaine,2023,Groundwater,161,113,73,10,70.1863354037267,45.3416149068323,6.211180124223603
Nouvelle-Aquitaine,2023,Sediment,1,1,1,1,100,100,100
Nouvelle-Aquitaine,2023,Surface water,103,0,0,0,0,0,0
Nouvelle-Aquitaine,2024,Biota,1,0,1,1,0,100,100
Nouvelle-Aquitaine,2024,Drinking water,4,0,0,0,0,0,0
Nouvelle-Aquitaine,2024,Groundwater,151,110,75,7,72.84768211920529,49.668874172185426,4.635761589403973
Nouvelle-Aquitaine,2024,Surface water,6,0,0,0,0,0,0
Occitanie,2009,Groundwater,1,1,1,0,100,100,0
Occitanie,2009,Surface water,17,0,0,0,0,0,0
Occitanie,2010,Groundwater,2,2,2,0,100,100,0
Occitanie,2010,Surface water,3,0,0,0,0,0,0
Occitanie,2011,Groundwater,50,48,37,2,96,74,4
Occitanie,2012,Surface water,18,0,0,0,0,0,0
Occitanie,2013,Surface water,8,0,0,0,0,0,0
Occitanie,2014,Drinking water,3,0,0,0,0,0,0
Occitanie,2014,Surface water,20,0,0,0,0,0,0
Occitanie,2015,Biota,1,1,1,1,100,100,100
Occitanie,2015,Surface water,56,0,0,0,0,0,0
Occitanie,2016,Groundwater,4,4,4,1,100,100,25
Occitanie,2016,Surface water,83,0,0,0,0,0,0
Occitanie,2017,Biota,9,8,9,9,88.88888888888889,100,100
Occitanie,2017,Groundwater,7,6,6,1,85.71428571428571,85.71428571428571,14.285714285714285
Occitanie,2017,Surface water,162,0,0,0,0,0,0
Occitanie,2018,Biota,8,8,8,8,100,100,100
Occitanie,2018,Groundwater,43,35,34,4,81.3953488372093,79.06976744186046,9.30232558139535
Occitanie,2018,Surface water,335,0,0,0,0,0,0
Occitanie,2019,Biota,33,33,33,33,100,100,100
Occitanie,2019,Groundwater,47,37,37,1,78.72340425531915,78.72340425531915,2.127659574468085
Occitanie,2019,Surface water,318,0,0,0,0,0,0
Occitanie,2020,Biota,20,20,20,20,100,100,100
Occitanie,2020,Groundwater,56,41,38,0,73.21428571428571,67.85714285714286,0
Occitanie,2020,Surface water,372,0,0,0,0,0,0
Occitanie,2021,Biota,21,21,21,21,100,100,100
Occitanie,2021,Groundwater,69,55,51,2,79.71014492753623,73.91304347826086,2.898550724637681
Occitanie,2021,Sediment,1,1,1,1,100,100,100
Occitanie,2021,Surface water,402,0,0,0,0,0,0
Occitanie,2022,Biota,72,34,68,68,47.22222222222222,94.44444444444444,94.44444444444444
Occitanie,2022,Groundwater,81,74,63,2,91.35802469135803,77.77777777777779,2.4691358024691357
Occitanie,2022,Surface water,416,0,0,0,0,0,0
Occitanie,2023,Biota,64,38,62,62,59.375,96.875,96.875
Occitanie,2023,Groundwater,97,43,43,1,44.329896907216494,44.329896907216494,1.0309278350515463
Occitanie,2023,Sediment,2,1,2,2,50,100,100
Occitanie,2023,Surface water,292,0,0,0,0,0,0
Occitanie,2024,Biota,2,2,2,2,100,100,100
Occitanie,2024,Drinking water,46,0,0,0,0,0,0
Occitanie,2024,Groundwater,82,46,45,7,56.09756097560976,54.87804878048781,8.536585365853659
Occitanie,2024,Surface water,9,0,0,0,0,0,0
Pays de la Loire,2006,Surface water,4,0,0,0,0,0,0
Pays de la Loire,2009,Surface water,18,0,0,0,0,0,0
Pays de la Loire,2010,Surface water,3,0,0,0,0,0,0
