region,year,matrix,total_prelevements,non_conformes_france,non_conformes_danemark,non_conformes_usa,pourcentage_france,pourcentage_danemark,pourcentage_usa
Corse,2024,Groundwater,3,0,0,0,0,0,0
Grand Est,2006,Surface water,1,0,1,1,0,100,100
Grand Est,2008,Surface water,15,0,15,14,0,100,93.33333333333331
Grand Est,2009,Groundwater,18,0,0,0,0,0,0
Grand Est,2009,Surface water,19,0,19,19,0,100,100
Grand Est,2010,Groundwater,2,0,0,0,0,0,0
Grand Est,2010,Surface water,16,0,13,14,0,81.25,87.5
Grand Est,2011,Groundwater,17,0,0,0,0,0,0
Grand Est,2011,Surface water,13,0,13,11,0,100,84.61538461538461
Grand Est,2012,Surface water,16,0,16,13,0,100,81.25
Grand Est,2013,Surface water,32,1,32,19,3.125,100,59.375
Grand Est,2014,Surface water,19,0,19,9,0,100,47.368421052631575
Grand Est,2015,Groundwater,175,0,0,0,0,0,0
Grand Est,2015,Surface water,19,0,17,5,0,89.47368421052632,26.31578947368421
Grand Est,2016,Groundwater,1138,0,0,0,0,0,0
Grand Est,2016,Sediment,1,0,0,0,0,0,0
Grand Est,2016,Surface water,556,0,507,134,0,91.18705035971225,24.100719424460433
Grand Est,2017,Groundwater,202,0,0,0,0,0,0
Grand Est,2017,Sediment,4,0,0,0,0,0,0
Grand Est,2017,Surface water,1189,0,1072,288,0,90.15979814970564,24.222035323801514
Grand Est,2018,Groundwater,178,0,0,0,0,0,0
Grand Est,2018,Surface water,1220,1,953,464,0.08196721311475409,78.11475409836065,38.0327868852459
Grand Est,2019,Biota,4,0,0,0,0,0,0
Grand Est,2019,Groundwater,307,0,0,0,0,0,0
Grand Est,2019,Surface water,2006,0,1505,737,0,75.02492522432702,36.73978065802592
Grand Est,2020,Biota,5,0,0,0,0,0,0
Grand Est,2020,Groundwater,360,0,0,0,0,0,0
Grand Est,2020,Surface water,1109,0,851,410,0,76.73579801623085,36.9702434625789
Grand Est,2021,Biota,2,0,0,0,0,0,0
Grand Est,2021,Groundwater,430,0,0,0,0,0,0
Grand Est,2021,Surface water,1273,1,960,364,0.07855459544383347,75.41241162608013,28.59387274155538
Grand Est,2022,Biota,7,0,0,0,0,0,0
Grand Est,2022,Groundwater,344,0,0,0,0,0,0
Grand Est,2022,Surface water,1236,0,1012,347,0,81.87702265372168,28.074433656957932
Grand Est,2023,Biota,8,0,0,0,0,0,0
Grand Est,2023,Groundwater,41,0,0,0,0,0,0
Grand Est,2023,Surface water,366,0,291,82,0,79.50819672131148,22.404371584699454
Grand Est,2024,Biota,9,0,0,0,0,0,0
Grand Est,2024,Drinking water,57,31,50,47,54.385964912280706,87.71929824561403,82.45614035087719
Grand Est,2024,Groundwater,62,0,0,0,0,0,0
Grand Est,2024,Surface water,384,0,168,12,0,43.75,3.125
Grand Est,2024,Unknown,1,0,0,0,0,0,0
Guadeloupe,2012,Groundwater,3,0,0,0,0,0,0
Guadeloupe,2019,Surface water,1,0,0,0,0,0,0
Guadeloupe,2022,Groundwater,2,0,0,0,0,0,0
Guyane,2012,Groundwater,6,0,0,0,0,0,0
Guyane,2017,Groundwater,1,0,0,0,0,0,0
Guyane,2019,Surface water,1,0,1,0,0,100,0
Guyane,2023,Surface water,1,0,0,0,0,0,0
Guyane,2024,Surface water,1,0,0,0,0,0,0
Hauts-de-France,2009,Groundwater,5,0,0,0,0,0,0
Hauts-de-France,2010,Groundwater,7,0,0,0,0,0,0
Hauts-de-France,2010,Surface water,2,0,2,2,0,100,100
Hauts-de-France,2011,Groundwater,18,0,0,0,0,0,0
Hauts-de-France,2012,Surface water,1,0,0,1,0,0,100
Hauts-de-France,2013,Surface water,5,0,4,5,0,80,100
Hauts-de-France,2014,Groundwater,93,0,0,0,0,0,0
Hauts-de-France,2016,Surface water,542,0,489,157,0,90.22140221402212,28.96678966789668
Hauts-de-France,2017,Groundwater,39,0,0,0,0,0,0
Hauts-de-France,2017,Sediment,1,0,0,0,0,0,0
Hauts-de-France,2017,Surface water,532,0,471,163,0,88.53383458646617,30.639097744360903
Hauts-de-France,2018,Groundwater,95,0,0,0,0,0,0
Hauts-de-France,2018,Surface water,602,0,512,196,0,85.04983388704319,32.55813953488372
Hauts-de-France,2019,Biota,3,0,0,0,0,0,0
