region,year,matrix,total_prelevements,non_conformes_France,non_conformes_Danemark,non_conformes_USA,pourcentage_France,pourcentage_Danemark,pourcentage_USA
Centre-Val de Loire,2021,Sediment,1,0,0,0,0,0,0
Centre-Val de Loire,2021,Surface water,382,0,0,0,0,0,0
Centre-Val de Loire,2022,Biota,7,5,6,6,71.42857142857143,85.71428571428571,85.71428571428571
Centre-Val de Loire,2022,Groundwater,26,0,19,0,0,73.07692307692307,0
Centre-Val de Loire,2022,Sediment,1,1,1,1,100,100,100
Centre-Val de Loire,2022,Surface water,342,0,0,0,0,0,0
Centre-Val de Loire,2023,Biota,4,4,4,4,100,100,100
Centre-Val de Loire,2023,Groundwater,46,0,24,0,0,52.17391304347826,0
Centre-Val de Loire,2023,Surface water,302,0,0,0,0,0,0
Centre-Val de Loire,2024,Drinking water,3,0,0,0,0,0,0
Centre-Val de Loire,2024,Groundwater,64,0,38,1,0,59.375,1.5625
Centre-Val de Loire,2024,Surface water,217,0,0,0,0,0,0
Centre-Val de Loire,2024,Unknown,2,0,0,0,0,0,0
Corse,2018,Groundwater,3,0,3,1,0,100,33.33333333333333
Corse,2018,Surface water,3,0,0,0,0,0,0
Corse,2019,Groundwater,5,0,4,0,0,80,0
Corse,2019,Surface water,4,0,0,0,0,0,0
Corse,2020,Groundwater,4,0,3,0,0,75,0
Corse,2020,Surface water,2,0,0,0,0,0,0
Corse,2021,Groundwater,4,0,1,0,0,25,0
Corse,2021,Surface water,2,0,0,0,0,0,0
Corse,2022,Groundwater,3,0,3,0,0,100,0
Corse,2022,Surface water,10,0,0,0,0,0,0
Corse,2023,Groundwater,5,0,3,0,0,60,0
Corse,2023,Surface water,9,0,0,0,0,0,0
Corse,2024,Groundwater,3,0,3,0,0,100,0
Grand Est,2006,Surface water,1,0,0,0,0,0,0
Grand Est,2008,Surface water,15,0,0,0,0,0,0
Grand Est,2009,Groundwater,18,0,18,3,0,100,16.666666666666664
Grand Est,2009,Surface water,19,0,0,0,0,0,0
Grand Est,2010,Groundwater,2,0,2,0,0,100,0
Grand Est,2010,Surface water,16,0,0,0,0,0,0
Grand Est,2011,Groundwater,17,0,10,0,0,58.82352941176471,0
